index,Title,Location,Address,Area Type,Price,Total Sqft,Size,Bath,Rating,Latitude,Longitude,Availability,Images,City
2119,Tridhaatu Morya,"1 BHK Flat for rent in Deonar, Mumbai","Deonar, Mumbai",Carpet Area,45000.0,574,1,2,0.0,19.0475502,72.9051895,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Mumbai
2120,Nilgiri Gardens,"1 BHK Flat for rent in Belapur, Navi Mumbai","Belapur, Navi Mumbai",Super Built-up Area,20000.0,600,1,1,0.0,19.0088415,73.0287773,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Navi Mumbai
2121,Nilgiri Gardens,"2 BHK Flat for rent in Belapur, Navi Mumbai","Belapur, Navi Mumbai",Super Built-up Area,30000.0,850,2,2,0.0,19.0088415,73.0287773,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Navi Mumbai
2123,Sobha HRC Pristine,"3 BHK Flat for rent in Jakkur, Bangalore North","Jakkur, Bangalore North",Super Built-up Area,77000.0,1892,3,4,0.0,13.07769775,77.59765216294025,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Bangalore
2125,Maithri Shilpitha Splendour,"3 BHK Flat for rent in Mahadevpura, Bangalore East","Mahadevpura, Bangalore East",Super Built-up Area,50000.0,1460,3,3,3.5,12.99678075,77.692813,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Bangalore
2126,Marathon Nexzone,"2 BHK Flat for rent in New Panvel, Navi Mumbai","New Panvel, Navi Mumbai",Super Built-up Area,16000.0,890,2,2,3.6,18.9982037,73.1236641,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://imagecdn.99acres.com/media1/23609/3/472183300M-1707375328470.jpg', 'https://static.99acres.com/universalapp/img/errorIcon.png', 'https://imagecdn.99acres.com/media1/23550/5/471005988T-1706873489745.jpg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Navi Mumbai
2128,Urbtech Xaviers,2 BHK Flat for rent in Sector 168 Noida,Sector 168 Noida,Super Built-up Area,20000.0,959,2,2,3.6,28.4950417,77.409942,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Noida
2129,Urbtech Xaviers,2 BHK Flat for rent in Sector 168 Noida,Sector 168 Noida,Super Built-up Area,22000.0,1200,2,3,3.6,28.4950417,77.409942,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Noida
2132,Awho Ranjit Vihar 2,"2 BHK Flat for rent in Sector 23 Dwarka, Dwarka Delhi","Sector 23 Dwarka, Dwarka Delhi",Carpet Area,31000.0,900,2,2,0.0,28.5619923,77.0491008,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBg.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Dwarka Delhi
2133,RWA Block E,"3 BHK Independent Builder Floor for rent in Malviya Nagar, South Delhi","Malviya Nagar, South Delhi",Super Built-up Area,55000.0,1350,3,2,0.0,28.5339201,77.2124474,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBg.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",South Delhi
